material,rank,J_mean_C,J_p2.5,J_p97.5,J_sd,P_rank_preserved
Lime-stabilised bamboo panel,1,33.72073355686624,33.33595910168768,34.269861080926944,0.2522702585731359,0.75
Clay-straw adobe,2,34.0732542989291,33.58789621725904,34.564167126393826,0.28492493179871764,0.578125
Mud brick (unfired),3,34.504265087463196,33.97144106095982,35.15402919025571,0.34408555672706453,0.53125
Lime-mud composite,4,34.729308610896,34.059733069581554,35.76891273898605,0.4553448143583595,0.390625
Fired clay brick,5,34.93528456207696,34.29973811705137,35.960949634206074,0.413584354561941,0.546875
