model,MAE_J,MAX_J,R2_J,MAE_Jpk,MAX_Jpk,R2_Jpk,fit_s,ms_single,ms_batch,fields
Quadratic ridge,0.056271077798622574,0.36710379434708784,0.999224257832414,0.2770547912135632,1.4324461345971713,0.9882050353698726,0.6909947395324707,1.9991493225097658,0.006482601165771484,no
MLP (3x256),0.02815797273847181,0.14771555742140663,0.9998156478298326,0.07356595517862587,0.48238377446000413,0.9990336160190763,196.78251719474792,0.2579355239868164,0.011439323425292969,no
Gaussian process,0.006079396101729628,0.051471539077283524,0.9999906620586827,0.06863248847138664,0.5291709745389426,0.9990425529688727,718.4514029026031,0.9899234771728516,0.13384699821472168,no
FNO (operator),0.03110809326171875,nan,nan,0.12353683471679687,nan,nan,nan,nan,nan,"T(x,t), w(x,t)"
