N_train,MAE_quad,MAE_GP,MAE_FNO
200,0.1086135605247506,0.029117293005440102,0.18016937255859375
400,0.07659154721520736,0.017850780713216635,0.09652740478515626
800,0.060880721818106734,0.010584323283955257,0.047977294921875
1600,0.056271077798622574,0.006079396101729628,0.03110809326171875
