N_train,relL2_T,relL2_w,MAE_J,minutes
200,0.0013414867641404272,0.04314635968767107,0.18016937255859375,23.565236270427704
400,0.0010202974261483177,0.01958295193966478,0.09652740478515626,41.357803936799364
800,0.0009025671440758742,0.012039901525713503,0.047977294921875,76.15217469533285
1600,0.0008648670949332882,0.008084063889691606,0.03110809326171875,nan
