N,dt_s,Linf_TL_K,Linf_TL_after_day1_K,err_Jmean_K
16,1200.0,0.014065373992593777,0.014065373992593777,0.000881890021446452
32,600.0,0.00998440644599441,0.0057184454600474055,0.0007492707975416124
64,300.0,0.008282580142690676,0.002372720553523777,0.00040719910163034
128,150.0,0.005872415051612734,0.0009018256835702232,0.0001755822713107591
